,Total time (s),Total cycles,Actuator position (mm),Force (N),Stress (MPa)
count,14524.0,14524.0,14524.0,14524.0,14524.0
mean,108.15248003304876,206.8263563756541,17.26760210938585,-9.929768533792016,-0.44140151732717
std,150.9200367985846,301.70579334485575,0.06212925272721246,7.24051334464711,0.3218578122620513
min,0.001,1.0,17.1714887729921,-23.60809836095,-1.04943538233241
25%,8.21175,7.0,17.214331561727075,-16.82200732696555,-0.747777708346618
50%,29.8385,50.0,17.26435734988805,-9.08160306189217,-0.403698571385676
75%,154.96224999999998,300.0,17.318592275467225,-2.8543651696538377,-0.12688323122572176
max,505.086,1000.0,17.4201078257391,-0.483037077703579,-0.0214721318324848
